target,max_cnn_receptor_stable,max_recall_receptor_stable,max_coupled_receptor_stable,n_rescued_actives,percent_of_target_rescued_actives
EGFR,1xkk_a_fmm_91,1xkk_a_fmm_91,1xkk_a_fmm_91,23,76.66666666666667
EGFR,4hjo_a_aq4_1001,1xkk_a_fmm_91,1xkk_a_fmm_91,3,10.0
EGFR,1m17_a_aq4_999,1m17_a_aq4_999,1m17_a_aq4_999,1,3.3333333333333335
EGFR,4hjo_a_aq4_1001,1xkk_a_fmm_91,4hjo_a_aq4_1001,1,3.3333333333333335
EGFR,5cav_a_4zq_1101,1xkk_a_fmm_91,1xkk_a_fmm_91,1,3.3333333333333335
EGFR,5cav_a_4zq_1101,1xkk_a_fmm_91,5cav_a_4zq_1101,1,3.3333333333333335
CDK2,1aq1_a_stu,1aq1_a_stu,1aq1_a_stu,11,32.35294117647059
CDK2,2a4l_a_rrc,2a4l_a_rrc,2a4l_a_rrc,6,17.647058823529413
CDK2,1aq1_a_stu,2a4l_a_rrc,1aq1_a_stu,4,11.764705882352942
CDK2,1aq1_a_stu,1pxn_a_ck6,1aq1_a_stu,2,5.882352941176471
CDK2,1fin_a_atp,1pxn_a_ck6,1pxn_a_ck6,2,5.882352941176471
CDK2,2a4l_a_rrc,1pxn_a_ck6,2a4l_a_rrc,2,5.882352941176471
CDK2,1aq1_a_stu,2a4l_a_rrc,2a4l_a_rrc,1,2.9411764705882355
CDK2,1fin_a_atp,1aq1_a_stu,1aq1_a_stu,1,2.9411764705882355
CDK2,1fin_a_atp,1pxn_a_ck6,1aq1_a_stu,1,2.9411764705882355
CDK2,1fin_a_atp,1pxn_a_ck6,1fin_a_atp,1,2.9411764705882355
CDK2,1fin_a_atp,2a4l_a_rrc,1pxn_a_ck6,1,2.9411764705882355
CDK2,1pxn_a_ck6,2a4l_a_rrc,1pxn_a_ck6,1,2.9411764705882355
CDK2,2a4l_a_rrc,1aq1_a_stu,2a4l_a_rrc,1,2.9411764705882355
