md_candidate_id,md_system_id,replicate_id,ifp_tanimoto_to_initial_median,ifp_tanimoto_to_consensus_median,key_interaction_occupancy_mean,key_interaction_occupancy_min,hinge_interaction_occupancy,gatekeeper_region_persistence,dfg_region_persistence,binding_mode_persistence_score,binding_mode_preserved_flag,warnings_json
mdcand_001,mdsys_mdcand_001,rep01,0.4137931034482759,0.4137931034482759,0.4137931034482759,0.0,0.0003331667499583,0.2468765617191404,0.889055472263868,0.4137931034482759,False,[]
mdcand_001,mdsys_mdcand_001,rep02,0.4328550010708931,0.4328550010708931,0.4328550010708931,0.0,0.0073296684990837,0.8660669665167416,0.7906046976511744,0.4328550010708931,False,[]
mdcand_001,mdsys_mdcand_001,rep03,0.4448847005068894,0.4448847005068894,0.4448847005068894,0.0,0.0221555888722305,0.9475262368815592,0.2113943028485757,0.4448847005068894,False,[]
mdcand_002,mdsys_mdcand_002,rep02,0.5671806953666024,0.5671806953666024,0.5671806953666024,0.0,0.8227552890221556,0.7726136931534233,0.3253373313343328,0.5671806953666024,False,[]
mdcand_002,mdsys_mdcand_002,rep01,0.618048118797744,0.618048118797744,0.618048118797744,0.0,0.7742795269032151,0.9435282358820588,0.3533233383308345,0.618048118797744,False,[]
mdcand_002,mdsys_mdcand_002,rep03,0.6316484614835438,0.6316484614835438,0.6316484614835438,0.0,0.727303015159087,0.993503248375812,0.5962018990504747,0.6316484614835438,False,[]
mdcand_003,mdsys_mdcand_003,rep01,0.6657742557292783,0.6657742557292783,0.6657742557292783,0.0,0.9998334166250208,0.9805097451274364,0.1689155422288855,0.6657742557292783,False,[]
mdcand_003,mdsys_mdcand_003,rep02,0.6896194759762976,0.6896194759762976,0.6896194759762976,0.0,0.9968349158753956,0.8540729635182409,0.5777111444277861,0.6896194759762976,False,[]
mdcand_003,mdsys_mdcand_003,rep03,0.6881559220389805,0.6881559220389805,0.6881559220389805,0.0,0.9676828252540396,0.8610694652673663,0.511744127936032,0.6881559220389805,False,[]
mdcand_004,mdsys_mdcand_004,rep03,0.5190262011851218,0.5190262011851218,0.5190262011851218,0.0,0.9053806430118274,0.8735632183908046,0.0849575212393803,0.5190262011851218,False,[]
mdcand_004,mdsys_mdcand_004,rep01,0.5518669236810166,0.5518669236810166,0.5518669236810166,0.0,0.9298683991337664,0.8055972013993004,0.0774612693653173,0.5518669236810166,False,[]
mdcand_004,mdsys_mdcand_004,rep02,0.381416434639823,0.381416434639823,0.381416434639823,0.0,0.1527569548559053,0.6101949025487257,0.440279860069965,0.381416434639823,False,[]
mdcand_005,mdsys_mdcand_005,rep01,0.5499750124937531,0.5499750124937531,0.5499750124937531,0.0,0.940862901882392,0.783608195902049,0.0784607696151924,0.5499750124937531,False,[]
mdcand_005,mdsys_mdcand_005,rep02,0.4523809523809524,0.4523809523809524,0.4523809523809524,0.0,0.553056804930868,0.5397301349325337,0.1964017991004497,0.4523809523809524,False,[]
mdcand_005,mdsys_mdcand_005,rep03,0.5930606125508674,0.5930606125508674,0.5930606125508674,0.0,0.9500249875062468,0.9185407296351824,0.1324337831084457,0.5930606125508674,False,[]
mdcand_006,mdsys_mdcand_006,rep01,0.7008995502248876,0.7008995502248876,0.7008995502248876,0.0,0.6283524904214559,1.0,0.929535232383808,0.7008995502248876,False,[]
mdcand_006,mdsys_mdcand_006,rep02,0.6436781609195402,0.6436781609195402,0.6436781609195402,0.0,0.4534399466933199,0.9895052473763118,0.9760119940029984,0.6436781609195402,False,[]
mdcand_006,mdsys_mdcand_006,rep03,0.6412864996073393,0.6412864996073393,0.6412864996073393,0.0,0.472263868065967,0.9970014992503748,0.9145427286356822,0.6412864996073393,False,[]
mdcand_neg01,mdsys_mdcand_neg01,rep01,0.0077104304990361,0.0077104304990361,0.0077104304990361,0.0,0.0,0.0,0.000999500249875,0.0077104304990361,False,[]
mdcand_neg01,mdsys_mdcand_neg01,rep02,0.009423859498822,0.009423859498822,0.009423859498822,0.0,0.0,0.0,0.0189905047476261,0.009423859498822,False,[]
mdcand_neg01,mdsys_mdcand_neg01,rep03,0.0004997501249375,0.0004997501249375,0.0004997501249375,0.0,0.0,0.0,0.0069965017491254,0.0004997501249375,False,[]
