target,contrast,metric,estimate,ci_lo,ci_hi,bootstrap_fraction_positive,n_bootstrap
EGFR,coupled_minus_gnina,roc_auc,0.0047934907369638,0.003423338587499,0.006120623417031,1.0,2000
EGFR,coupled_minus_gnina,ef1,4.422073883660184,2.395290020315933,6.633110825490276,1.0,2000
EGFR,coupled_minus_gnina,ef5,0.7378413491671472,0.332028607125217,1.1067620237507212,1.0,2000
EGFR,coupled_minus_gnina,bedroc_80_5,0.070697284564887,0.0536288352234377,0.0880302048540448,1.0,2000
CDK2,coupled_minus_gnina,roc_auc,0.0050235720934803,0.0031126039117876,0.0068906989945424,1.0,2000
CDK2,coupled_minus_gnina,ef1,3.3750503198103505,0.4218812899762944,5.695397414679967,0.988,2000
CDK2,coupled_minus_gnina,ef5,0.3796931609786638,-0.0843762579952596,0.8015744509549574,0.9215,2000
CDK2,coupled_minus_gnina,bedroc_80_5,0.0292492078108669,0.0043796175765876,0.0550700508375607,0.987,2000
CDK2,coupled_minus_late_fusion,roc_auc,-0.0021246807993067,-0.0035647834091164,-0.0005518012791989,0.003,2000
CDK2,coupled_minus_late_fusion,ef1,-1.4765845149170271,-3.7969316097866432,0.4218812899762927,0.044,2000
CDK2,coupled_minus_late_fusion,ef5,-0.3796931609786647,-0.8015744509549592,0.0,0.0245,2000
CDK2,coupled_minus_late_fusion,bedroc_80_5,-0.029214195460843,-0.0478073728193223,-0.0120237953534379,0.0,2000
