calibration_method,nominal_coverage,empirical_coverage_exact,coverage_gap_exact,bound_compatibility_rate,mean_interval_width_exact,calibration_useful_rate,n_natural_runs,hidden_true_coverage_synthetic,n_synthetic_runs,base_model,feature_set,natural_split_scope
censor_bound_calibration,0.5,0.5300690182118402,0.03006901821184021,0.9690078027198678,2.4335986314352303,0.0,128,0.6012402243023776,40,tobit_ensemble,morgan,random+scaffold+cluster_butina+pseudo_temporal
censor_bound_calibration,0.8,0.7921251136986697,-0.007874886301330436,0.9899852896497425,4.627417398399714,0.0078125,128,0.88794890690357,40,tobit_ensemble,morgan,random+scaffold+cluster_butina+pseudo_temporal
censor_bound_calibration,0.9,0.8790316311669528,-0.02096836883304717,0.9938147622447181,5.959901736814443,0.046875,128,0.9472692333957322,40,tobit_ensemble,morgan,random+scaffold+cluster_butina+pseudo_temporal
censor_bound_calibration,0.95,0.9267008874673618,-0.023299112532638205,0.9964479382601928,7.2012980321278555,0.1328125,128,0.9720880960843251,40,tobit_ensemble,morgan,random+scaffold+cluster_butina+pseudo_temporal
exact_split_conformal_absolute,0.5,0.5143156940066641,0.014315694006664069,0.9523628210624879,2.208355604561862,0.696078431372549,102,0.6226065403459347,26,tobit_ensemble,morgan,random+scaffold+cluster_butina+pseudo_temporal
exact_split_conformal_absolute,0.8,0.8101755649160612,0.010175564916061149,0.985015022864785,3.9884753146178666,0.6568627450980392,102,0.8678765664733625,26,tobit_ensemble,morgan,random+scaffold+cluster_butina+pseudo_temporal
exact_split_conformal_absolute,0.9,0.9075090644172737,0.007509064417273662,0.9925341177865588,5.111144374491951,0.6078431372549019,102,0.9366141104063364,26,tobit_ensemble,morgan,random+scaffold+cluster_butina+pseudo_temporal
exact_split_conformal_absolute,0.95,0.9524018075696984,0.0024018075696984865,0.9966567926530888,6.136508597154737,0.5980392156862745,102,0.9700328331621164,26,tobit_ensemble,morgan,random+scaffold+cluster_butina+pseudo_temporal
exact_split_conformal_normalized,0.5,0.5122124863423657,0.012212486342365695,0.9570673004445115,2.2113138519989985,0.7156862745098039,102,0.6826020550846871,26,tobit_ensemble,morgan,random+scaffold+cluster_butina+pseudo_temporal
exact_split_conformal_normalized,0.8,0.8133283432186635,0.013328343218663498,0.9888185575943611,4.508664394544919,0.5882352941176471,102,0.8630797708307724,26,tobit_ensemble,morgan,random+scaffold+cluster_butina+pseudo_temporal
exact_split_conformal_normalized,0.9,0.9059031805613924,0.005903180561392388,0.994962533918687,6.116719836642495,0.5392156862745098,102,0.9226327321673303,26,tobit_ensemble,morgan,random+scaffold+cluster_butina+pseudo_temporal
exact_split_conformal_normalized,0.95,0.9511103955473235,0.0011103955473235041,0.9978982088177287,7.6066129863570815,0.5882352941176471,102,0.9522140049722039,26,tobit_ensemble,morgan,random+scaffold+cluster_butina+pseudo_temporal
sigma_scaling,0.5,0.5680275547197139,0.0680275547197138,0.96760496880125,2.4700059546418394,0.1568627450980392,102,0.5862699116099436,26,tobit_ensemble,morgan,random+scaffold+cluster_butina+pseudo_temporal
sigma_scaling,0.8,0.8277530968999844,0.02775309689998436,0.9903114585363784,4.693088363693452,0.24509803921568626,102,0.8858760356083324,26,tobit_ensemble,morgan,random+scaffold+cluster_butina+pseudo_temporal
sigma_scaling,0.9,0.9044399483536433,0.004439948353643243,0.9953162745846176,6.02351370336356,0.2647058823529412,102,0.9485761042280008,26,tobit_ensemble,morgan,random+scaffold+cluster_butina+pseudo_temporal
sigma_scaling,0.95,0.9408105738225039,-0.009189426177496076,0.9973190529790585,7.17745927390314,0.23529411764705882,102,0.9747925206905457,26,tobit_ensemble,morgan,random+scaffold+cluster_butina+pseudo_temporal
uncalibrated_gaussian,0.5,0.5300690182118402,0.03006901821184021,0.9690078027198678,2.4335986314352303,0.0,128,0.5953805180096492,40,tobit_ensemble,morgan,random+scaffold+cluster_butina+pseudo_temporal
uncalibrated_gaussian,0.8,0.792042001996542,-0.007957998003458096,0.9899852896497425,4.623913313903365,0.0,128,0.8825394300848313,40,tobit_ensemble,morgan,random+scaffold+cluster_butina+pseudo_temporal
uncalibrated_gaussian,0.9,0.8775483790454601,-0.022451620954539845,0.9938147622447181,5.934728488159659,0.0,128,0.9369273601873587,40,tobit_ensemble,morgan,random+scaffold+cluster_butina+pseudo_temporal
uncalibrated_gaussian,0.95,0.9199747639427139,-0.030025236057285975,0.9960984503492459,7.071665164744746,0.0,128,0.9621154700109754,40,tobit_ensemble,morgan,random+scaffold+cluster_butina+pseudo_temporal
